 População Residente - Estimativas para o TCU - Pernambuco
População estimada por Município e Ano
Período:2018-2020
"261280 SANTA TEREZINHA";11764;11815
"261290 SAO BENEDITO DO SUL";15717;15895
"261300 SAO BENTO DO UNA";58956;59504
"261310 SAO CAITANO";37119;37245
"261320 SAO JOAO";22686;22793
"261330 SAO JOAQUIM DO MONTE";21314;21356
"261340 SAO JOSE DA COROA GRANDE";21004;21298
"261350 SAO JOSE DO BELMONTE";33895;33959
"261360 SAO JOSE DO EGITO";33789;33951
"261370 SAO LOURENCO DA MATA";112362;113230
"261380 SAO VICENTE FERRER";17950;18018
"261390 SERRA TALHADA";85774;86350
"261400 SERRITA";19133;19165
"261410 SERTANIA";35761;35907
"261420 SIRINHAEM";45359;45865
"261430 MOREILANDIA";11270;11270
"261440 SOLIDAO";5993;6007
"261450 SURUBIM";64520;65089
"261460 TABIRA";28371;28534
"261470 TACAIMBO";12890;12874
"261480 TACARATU";25417;25765
"261485 TAMANDARE";23149;23388
"261500 TAQUARITINGA DO NORTE";28416;28775
"261510 TEREZINHA";7139;7169
"261520 TERRA NOVA";9983;10096
"261530 TIMBAUBA";50956;53022
"261540 TORITAMA";44254;45219
"261550 TRACUNHAEM";13724;13769
"261560 TRINDADE";30222;30521
"261570 TRIUNFO";15265;15254
"261580 TUPANATINGA";27052;27304
"261590 TUPARETAMA";8192;8202
"261600 VENTUROSA";18298;18482
"261610 VERDEJANTE";9514;9534
"261618 VERTENTE DO LERIO";7666;7618
"261620 VERTENTES";20503;20731
"261630 VICENCIA";32513;32643
"261640 VITORIA DE SANTO ANTAO";137915;138757
"261650 XEXEU";14691;14725
"Total";9496294;9557071
 Fonte: IBGE - Estimativas de população
 Notas:
 
 Para alguns anos, os dados aqui apresentados não são comparáveis com as
 projeções intercensitárias segundo faixa etária e sexo,
 devido a diferenças metodológicas para estimar e projetar os contingentes populacionais.
 Veja a nota técnica para detalhes e situações especiais.
 Devido a decisões judiciais, as populações apresentadas para alguns municípios não é a estimada pelo IBGE. Em decorrência desta situação,
 os totais apresentados para Unidades da Federação e para o Brasil podem também não corresponder ao estimado pelo IBGE. Veja também a
 nota técnica.
 
